legacy_file,symbol,kind,line,current_responsibility,target_owner,action,target_module,notes
__init__.py,(module),module,1,package marker,none,ignore,n/a,No production port.
backtest.py,_profile_code,function,57,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,ensure_finite_metric,function,61,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_nullable_finite,function,69,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_open_high_low_for_vectorbt,function,75,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_uses_managed_execution_integration,function,93,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_phase_rule_eval_context,function,102,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_runtime_exit_signals_by_side,function,116,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_build_side_metrics,function,146,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,build_trade_side_metrics,function,178,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_equity_metrics_from_trades,function,218,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,_run_execution_integrated_strategy_spec,function,253,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
backtest.py,run_strategy_spec,function,329,"mixed orchestration, strategy evaluation, vectorbt execution and metrics",research_service,rewrite/split,application/backtests/orchestrator.py,Do not port strategy feature/signal construction or vectorbt coupling.
data_loader.py,load_candles_once,function,15,legacy candle loading,market_data_service,replace,adapters/market_data/http_client.py,Use MarketDataPort; do not port DB access.
exit_arbitration.py,_candidate_priority,function,24,exit candidate priority and deterministic selection,research_service,rewrite,execution/arbitration.py,Preserve explicit deterministic ordering with typed candidates.
exit_arbitration.py,ArbitrationResult,class,42,exit candidate priority and deterministic selection,research_service,rewrite,execution/arbitration.py,Preserve explicit deterministic ordering with typed candidates.
exit_arbitration.py,ExitArbitrator,class,49,exit candidate priority and deterministic selection,research_service,rewrite,execution/arbitration.py,Preserve explicit deterministic ordering with typed candidates.
exit_arbitration.py,arbitration_metadata,function,75,exit candidate priority and deterministic selection,research_service,rewrite,execution/arbitration.py,Preserve explicit deterministic ordering with typed candidates.
exit_attribution.py,ExitAttributionContext,class,15,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,ExitAttributionResult,class,33,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,build_exit_instance_component_map,function,42,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_finite,function,57,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_resolve_profile,function,67,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
exit_attribution.py,_null_attribution,function,81,fill-price rules plus report attribution,research_service,split/rewrite,execution/fills.py + diagnostics/exit_attribution.py,Separate actual fill selection from descriptive attribution.
